Date,Name,Profile link,Topic,Manager,Format,Ad link,UTM Link,UTM Campaign,Budget,Reach (Plan),Fact Reach,Median %,CPM (Plan),CPM Fact,CTR Plan,CTR Fact,Traffic Plan,Traffic Fact,CPC Plan,CPC Fact,CR0 Plan,CR0 Fact,Contacts Plan,Contacts Fact,CPContact Plan,CPContact Fact,"CR1 Contact - deal
Plan","CR1 Contact - deal 
Fact",Deals Plan,Deals Fact,CR3 Deal > call Plan,CR3 Deal > call Fact,Calls Plan,Calls Fact,"CR4 Call - GTC
Fact",GTC ? Plan,GTC ? Fact,?R Call > Purchase P  - 1 month,?R Call > Purchase F  - 1 month,Purchase F - TOTAL,CMC F - TOTAL,Purchase P - 1 month,Purchase F - 1 month,CMC P - 1 ???,CMC F - 1 month,Purchase F - 2 ?onth,"CMC F - 
2 ?onth","Purchase F - 
3 ?onth","CMC F - 
3 ?onth","Purchase F - 
6 ?onth","CMC F - 
6 ?onth",is_parseable,url_type,content_id,integration_timestamp
2025-04-01,drewtalbert,https://www.instagram.com/drewtalbert/,Career,Arina,reel,https://www.instagram.com/reel/DH6K1jYJDCB/,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_drewtalbert0425&utm_content=reels,influencers_drewtalbert0425,11000.0,500000.0,1300000.0,2.6,22.0,8.461538462,0.0012,0.000461538,600.0,382.0,18.33333333,28.79581152,0.08,0.17539267,48.0,67.0,229.1666667,164.1791045,0.2,0.582089552,9.6,39.0,0.4,0.41025641,3.84,16.0,0.5625,1.152,9.0,0.3,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,,True,instagram_reel,DH6K1jYJDCB,
2025-04-01,mamainmadrid_,https://www.instagram.com/mamainmadrid_/reels/,Travel,Tatam,reel,https://www.instagram.com/reel/DH6Scl6IYh8/,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_mamainmadrid_0425&utm_content=reels,influencers_mamainmadrid_0425,2000.0,80000.0,88000.0,1.1,25.0,22.72727273,0.0012,0.001090909,96.0,125.0,20.83333333,16.0,0.08,0.144,7.68,18.0,260.4166667,111.1111111,0.2,0.333333333,1.536,6.0,0.4,0.166666667,0.6144,1.0,0.0,0.18432,0.0,0.3,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,,True,instagram_reel,DH6Scl6IYh8,
2025-04-04,Chemistorian,https://www.youtube.com/@Chemistorian,History,Masha,youtube,https://youtu.be/uTc3U2Cqen4?si=tFWWnuYgMps_cQVF&t=331,https://tripleten.com/programs/?utm_campaign=influencers_chemistorian0425&utm_medium=youtube&utm_source=influencers&utm_content=youtube,influencers_chemistorian0425,3000.0,80000.0,5800.0,0.0725,37.5,517.2413793,0.0012,0.016551724,96.0,8.0,31.25,375.0,0.08,0.0,7.68,0.0,390.625,,0.2,,1.536,0.0,0.4,,0.6144,0.0,,0.18432,0.0,0.3,,0.0,,0.18432,0.0,16276.04167,,0.0,,0.0,,0.0,,True,youtube,uTc3U2Cqen4,331.0
2025-04-05,PCBuilderChannel,https://www.youtube.com/@PCBuilderChannel/videos,Tech,Masha,youtube,https://youtu.be/dBgqgkC1kac?si=f814KOj0OStqeb9v&t=27,https://tripleten.com/programs/?utm_campaign=influencers_pcbuilder0425&utm_medium=youtube&utm_source=influencers&utm_content=youtube,influencers_pcbuilder0425,2500.0,100000.0,59000.0,0.59,25.0,42.37288136,0.0012,0.002033898,120.0,104.0,20.83333333,24.03846154,0.08,0.057692308,9.6,6.0,260.4166667,416.6666667,0.2,0.166666667,1.92,1.0,0.4,0.0,0.768,0.0,,0.2304,0.0,0.3,,0.0,,0.2304,0.0,10850.69444,,0.0,,0.0,,0.0,,True,youtube,dBgqgkC1kac,27.0
2025-04-08,iampaulconway,https://www.instagram.com/iampaulconway/reels/,Mental Health,Arina,reel,https://www.instagram.com/reel/DIMmcDNS23P/,https://tripleten.com/programs/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_iampaulconway0425&utm_content=reels,influencers_iampaulconway0425,10000.0,250000.0,156000.0,0.624,40.0,64.1025641,0.0012,0.001923077,300.0,119.0,33.33333333,84.03361345,0.08,0.033613445,24.0,4.0,416.6666667,2500.0,0.2,0.25,4.8,1.0,0.4,0.0,1.92,0.0,,0.576,0.0,0.3,,0.0,,,0.0,,,0.0,,0.0,,0.0,,True,instagram_reel,DIMmcDNS23P,
2025-04-08,clobaremoneycoach,https://www.instagram.com/clobaremoneycoach/,Finance,Arina,reel,https://www.instagram.com/reel/DIMeQt8PGcP/,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_clobaremoneycoach0425&utm_content=reels,influencers_clobaremoneycoach0425,3000.0,60000.0,12700.0,0.211666667,50.0,236.2204724,0.0012,0.005669291,72.0,390.0,41.66666667,7.692307692,0.08,0.046153846,5.76,18.0,520.8333333,166.6666667,0.2,0.333333333,1.152,6.0,0.4,0.166666667,0.4608,1.0,0.0,0.13824,0.0,0.3,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,,True,instagram_reel,DIMeQt8PGcP,
2025-04-08,clobaremoneycoach,https://www.instagram.com/clobaremoneycoach/,Finance,Arina,story,clobaremoneycoach.mov,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_clobaremoneycoach0425&utm_content=stories,influencers_clobaremoneycoach0425,500.0,10000.0,5000.0,0.5,50.0,100.0,0.0012,0.0024,12.0,390.0,41.66666667,1.282051282,0.08,0.046153846,0.96,18.0,520.8333333,27.77777778,0.2,0.333333333,0.192,6.0,0.4,0.166666667,0.0768,1.0,0.0,0.02304,0.0,0.3,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,,False,local_file,,
2025-04-10,bryanjamescruises,https://www.instagram.com/bryanjamescruises/reels/,Career,Tatam,reel,https://www.instagram.com/reel/DIR_IBNIV9l/,https://tripleten.com/programs/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_bryanjamescruises0425&utm_content=reels,influencers_bryanjamescruises0425,4375.0,200000.0,89300.0,0.4465,21.875,48.99216125,0.0012,0.00268757,240.0,377.0,18.22916667,11.60477454,0.08,0.047745358,19.2,18.0,227.8645833,243.0555556,0.2,0.5,3.84,9.0,0.4,0.222222222,1.536,2.0,0.5,0.4608,1.0,0.3,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,,True,instagram_reel,DIR_IBNIV9l,
2025-04-13,theangryexplainer,https://www.youtube.com/@theangryexplainer,Knowledge,Masha,youtube,https://youtu.be/wGVv1fvqu2w?si=-L9ykp9z4KIZ92-p&t=120,https://tripleten.com/special/free-career-consultation/?utm_campaign=influencers_theangryexplainer0425&utm_medium=youtube&utm_source=influencers&utm_content=youtube,influencers_theangryexplainer0425,600.0,20000.0,11000.0,0.55,30.0,54.54545455,0.0012,0.002181818,24.0,81.0,25.0,7.407407407,0.08,0.12345679,1.92,10.0,312.5,60.0,0.2,0.0,0.384,0.0,0.4,,0.1536,0.0,,0.04608,0.0,0.3,,0.0,,0.04608,0.0,13020.83333,,0.0,,0.0,,0.0,,True,youtube,wGVv1fvqu2w,120.0
2025-04-14,heavyspoilers,https://www.youtube.com/@heavyspoilers/featured,Movies,Masha,youtube,https://youtu.be/jjHTPGe4vAY?si=z-T70T1WOCd6Lw19&t=387,https://tripleten.com/special/free-career-consultation/?utm_campaign=influencers_heavyspoilers0425&utm_medium=youtube&utm_source=influencers&utm_content=youtube,influencers_heavyspoilers0425,4900.0,300000.0,193000.0,0.643333333,16.33333333,25.38860104,0.0012,0.001865285,360.0,117.0,13.61111111,41.88034188,0.08,0.076923077,28.8,9.0,170.1388889,544.4444444,0.2,0.555555556,5.76,5.0,0.4,0.2,2.304,1.0,1.0,0.6912,1.0,0.3,0.0,0.0,,0.6912,0.0,7089.12037,,0.0,,0.0,,0.0,,True,youtube,jjHTPGe4vAY,387.0
2025-04-14,ScreenCrush,https://www.youtube.com/@ScreenCrush/videos,Movies,Masha,youtube,https://youtu.be/TM1iu7i5Hmg?si=Wv0tw-yzSlDvXpxG&t=195,https://tripleten.com/special/free-career-consultation/?utm_campaign=influencers_screencrush0425&utm_medium=youtube&utm_source=influencers&utm_content=youtube,influencers_screencrush0425,6863.0,300000.0,228000.0,0.76,22.87666667,30.10087719,0.0012,0.001578947,360.0,247.0,19.06388889,27.7854251,0.08,0.097165992,28.8,24.0,238.2986111,285.9583333,0.2,0.375,5.76,9.0,0.4,0.666666667,2.304,6.0,0.666666667,0.6912,4.0,0.3,0.666666667,4.0,1715.75,1.0,1.0,6863.0,6863.0,2.0,3431.5,2.0,3431.5,4.0,1715.75,True,youtube,TM1iu7i5Hmg,195.0
2025-04-16,resumeofficial101,https://www.instagram.com/resumeofficial101/reels/,Career,Arina,reel,https://www.instagram.com/reel/DIg-FXFuYIe/,https://tripleten.com/programs/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_resumeofficial0425&utm_content=reels,influencers_resumeofficial0425,2500.0,50000.0,14100.0,0.282,50.0,177.3049645,0.0012,0.004255319,60.0,154.0,41.66666667,16.23376623,0.08,0.097402597,4.8,15.0,520.8333333,166.6666667,0.2,0.6,0.96,9.0,0.4,0.444444444,0.384,4.0,0.25,0.1152,1.0,0.3,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,,True,instagram_reel,DIg-FXFuYIe,
2025-04-17,developeradam,https://www.instagram.com/developeradam/?igshid=MWI4MTIyMDE%3D#,Gaming,Arina,story,Developeradam.mp4,https://tripleten.com/programs/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_resumeofficial0425&utm_content=stories,influencers_developeradam0425,1000.0,10000.0,5000.0,0.5,100.0,200.0,0.0012,0.0024,12.0,457.0,83.33333333,2.188183807,0.08,0.013129103,0.96,6.0,1041.666667,166.6666667,0.2,0.333333333,0.192,2.0,0.4,0.5,0.0768,1.0,1.0,0.02304,1.0,0.3,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,,False,local_file,,
2025-04-17,developeradam,https://www.instagram.com/developeradam/?igshid=MWI4MTIyMDE%3D#,Gaming,Arina,reel,https://www.instagram.com/reel/DIidThZNCGx/,https://tripleten.com/programs/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_developeradam0425&utm_content=reels,influencers_developeradam0425,4000.0,50000.0,61800.0,1.236,80.0,64.72491909,0.0012,0.000970874,60.0,457.0,66.66666667,8.75273523,0.08,0.013129103,4.8,6.0,833.3333333,666.6666667,0.2,0.333333333,0.96,2.0,0.4,0.5,0.384,1.0,1.0,0.1152,1.0,0.3,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,,True,instagram_reel,DIidThZNCGx,
2025-04-17,thedeveloperadam_,https://www.tiktok.com/@thedeveloperadam_,Gaming,Arina,tiktok,https://www.tiktok.com/@thedeveloperadam_/video/7494174037552139542,,influencers_developeradam0425,0.0,5000.0,5000.0,1.0,0.0,0.0,0.0012,0.0012,6.0,457.0,0.0,0.0,0.08,0.013129103,0.48,6.0,,0.0,0.2,0.333333333,0.096,2.0,0.4,0.5,0.0384,1.0,1.0,0.01152,1.0,0.3,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,,True,tiktok,7494174037552139542,
2025-04-17,Tech.Unicorn,https://www.youtube.com/@Tech.Unicorn,Tech Careers,Arina,youtube,https://www.youtube.com/watch?v=cpc6B4fLAXo,https://tripleten.com/special/free-career-consultation/?utm_campaign=influencers_techunicorn0425&utm_medium=youtube&utm_source=influencers&utm_content=youtube,influencers_techunicorn0425,250.0,2000.0,1000.0,0.5,125.0,250.0,0.0012,0.0024,2.4,15.0,104.1666667,16.66666667,0.08,0.0,0.192,0.0,1302.083333,,0.2,,0.0384,0.0,0.4,,0.01536,0.0,,0.004608,0.0,0.3,,0.0,,0.004608,0.0,54253.47222,,0.0,,0.0,,0.0,,True,youtube,cpc6B4fLAXo,
2025-04-18,resumeofficial101,https://www.instagram.com/resumeofficial101/reels/,Career,Arina,story,Resumeofficial.mp4,,influencers_resumeofficial0425,500.0,10000.0,7000.0,0.7,50.0,71.42857143,0.0012,0.001714286,12.0,154.0,41.66666667,3.246753247,0.08,0.097402597,0.96,15.0,,33.33333333,0.2,0.6,0.192,9.0,0.4,0.444444444,0.0768,4.0,0.25,0.02304,1.0,0.3,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,,False,local_file,,
2025-04-19,oliviamarieplath,https://www.instagram.com/oliviamarieplath/,Lifestyle,Tatam,reel,https://www.instagram.com/reel/DImXdBByGCp/,https://tripleten.com/special/free-career-consultation/?utm_channel=influencers&utm_source=influencers&utm_medium=instagram&utm_campaign=influencers_oliviamarieplath0425&utm_content=reels,influencers_oliviamarieplath0425,2800.0,100000.0,48600.0,0.486,28.0,57.61316872,0.0012,0.002469136,120.0,77.0,23.33333333,36.36363636,0.08,0.051948052,9.6,4.0,291.6666667,700.0,0.2,0.0,1.92,0.0,0.4,,0.768,0.0,,0.2304,0.0,0.3,,0.0,,,0.0,,,0.0,,0.0,,0.0,,True,instagram_reel,DImXdBByGCp,
